Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,44677734375;55,038151861042;-3,20709228515625E-07;-0,445831298828125;1;183;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,44921875;55,2822928604256;-3,21075439453125E-07;-0,448333740234375;1;184;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,45166015625;55,5264338598092;-3,209228515625E-07;-0,45074462890625;1;185;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4541015625;55,7705748591928;-3,20831298828125E-07;-0,45318603515625;1;186;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,45654296875;56,0147158585764;-3,2080078125E-07;-0,455596923828125;1;187;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,458984375;56,25885685796;-3,204345703125E-07;-0,458038330078125;1;188;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,46142578125;56,5029978573436;-3,20343017578125E-07;-0,460479736328125;1;189;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4638671875;56,7471388567272;-3,20098876953125E-07;-0,462921142578125;1;190;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,46630859375;56,9912798561109;-3,19610595703125E-07;-0,465362548828125;1;191;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,46875;57,2354208554945;-3,192138671875E-07;-0,46783447265625;1;192;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,47119140625;57,4795618548781;-3,18695068359375E-07;-0,47015380859375;1;193;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4736328125;57,7237028542617;-3,18206787109375E-07;-0,47265625;1;194;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,47607421875;57,9678438536453;-3,17535400390625E-07;-0,475128173828125;1;195;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,478515625;58,2119848530289;-3,167724609375E-07;-0,4775390625;1;196;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,48095703125;58,4561258524125;-3,1591796875E-07;-0,480010986328125;1;197;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4833984375;58,7002668517961;-3,15521240234375E-07;-0,482391357421875;1;198;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,48583984375;58,9444078511797;-3,148193359375E-07;-0,484832763671875;1;199;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,48828125;59,1885488505633;-3,1390380859375E-07;-0,4873046875;1;200;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,49072265625;59,4326898499469;-3,1292724609375E-07;-0,489715576171875;1;201;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,4931640625;59,6768308493305;-3,12042236328125E-07;-0,4921875;1;202;0,000377255453169346;-1,23335473239422E-05;1 µA;
-0,49560546875;59,9209718487141;-3,11431884765625E-07;-0,49456787109375;1;203;0,000377255453169346;-1,23335473239422E-05;1 µA;
